hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
46,45,18,14,NA,NA,NA,NA,NA,NA,NA,NA
70,68,67,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,51,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,46,20,20,18,NA,NA,NA,NA,NA,NA,NA
30,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,37,3,2,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,46,22,20,14,NA,NA,NA,NA,NA,NA,NA
44,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,35,8,4,NA,NA,NA,NA,NA,NA,NA,NA
36,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,39,12,11,9,NA,NA,NA,NA,NA,NA,NA
51,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,43,16,14,NA,NA,NA,NA,NA,NA,NA,NA
69,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,42,14,12,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,41,13,11,7,NA,NA,NA,NA,NA,NA,NA
52,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
