hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
38,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,40,15,12,NA,NA,NA,NA,NA,NA,NA,NA
38,35,7,3,NA,NA,NA,NA,NA,NA,NA,NA
38,28,6,2,0,NA,NA,NA,NA,NA,NA,NA
50,38,12,12,NA,NA,NA,NA,NA,NA,NA,NA
41,38,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,50,22,20,19,NA,NA,NA,NA,NA,NA,NA
65,65,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,43,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,66,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,41,9,7,3,NA,NA,NA,NA,NA,NA,NA
20,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,41,11,9,NA,NA,NA,NA,NA,NA,NA,NA
71,65,28,24,NA,NA,NA,NA,NA,NA,NA,NA
61,57,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,46,21,19,NA,NA,NA,NA,NA,NA,NA,NA
52,50,21,18,9,NA,NA,NA,NA,NA,NA,NA
39,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,30,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,44,21,21,19,16,NA,NA,NA,NA,NA,NA
35,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,44,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,39,12,12,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,14,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,46,21,16,NA,NA,NA,NA,NA,NA,NA,NA
48,48,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,40,11,7,NA,NA,NA,NA,NA,NA,NA,NA
73,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,34,10,7,NA,NA,NA,NA,NA,NA,NA,NA
51,50,21,19,17,15,NA,NA,NA,NA,NA,NA
63,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,43,5,2,NA,NA,NA,NA,NA,NA,NA,NA
64,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,53,24,18,14,NA,NA,NA,NA,NA,NA,NA
34,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,33,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,35,10,1,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,35,5,3,NA,NA,NA,NA,NA,NA,NA,NA
46,33,29,28,23,21,NA,NA,NA,NA,NA,NA
60,53,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,38,13,11,2,NA,NA,NA,NA,NA,NA,NA
43,43,11,9,9,NA,NA,NA,NA,NA,NA,NA
39,38,10,8,5,NA,NA,NA,NA,NA,NA,NA
70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,36,9,7,5,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,36,12,9,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,43,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,48,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33,5,2,NA,NA,NA,NA,NA,NA,NA,NA
31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,41,22,18,NA,NA,NA,NA,NA,NA,NA,NA
37,28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,44,18,13,NA,NA,NA,NA,NA,NA,NA,NA
45,42,18,16,8,NA,NA,NA,NA,NA,NA,NA
43,39,13,10,NA,NA,NA,NA,NA,NA,NA,NA
39,39,13,11,9,7,NA,NA,NA,NA,NA,NA
54,52,26,23,NA,NA,NA,NA,NA,NA,NA,NA
27,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,37,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,43,19,14,9,NA,NA,NA,NA,NA,NA,NA
69,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,43,21,14,NA,NA,NA,NA,NA,NA,NA,NA
49,48,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,40,16,10,NA,NA,NA,NA,NA,NA,NA,NA
52,48,23,18,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,32,4,0,NA,NA,NA,NA,NA,NA,NA,NA
56,55,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,37,15,13,NA,NA,NA,NA,NA,NA,NA,NA
46,44,16,11,9,NA,NA,NA,NA,NA,NA,NA
49,45,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,40,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,41,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,50,30,25,10,0,NA,NA,NA,NA,NA,NA
40,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,35,3,0,NA,NA,NA,NA,NA,NA,NA,NA
56,53,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,36,7,5,NA,NA,NA,NA,NA,NA,NA,NA
45,16,14,12,0,NA,NA,NA,NA,NA,NA,NA
46,45,16,14,NA,NA,NA,NA,NA,NA,NA,NA
41,41,12,10,NA,NA,NA,NA,NA,NA,NA,NA
38,33,6,1,NA,NA,NA,NA,NA,NA,NA,NA
30,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,44,15,8,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,44,17,15,6,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,55,33,27,NA,NA,NA,NA,NA,NA,NA,NA
42,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,12,10,8,NA,NA,NA,NA,NA,NA,NA,NA
23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,45,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,30,3,1,NA,NA,NA,NA,NA,NA,NA,NA
69,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,21,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,42,18,16,NA,NA,NA,NA,NA,NA,NA,NA
74,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,49,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,40,13,11,NA,NA,NA,NA,NA,NA,NA,NA
85,63,52,49,NA,NA,NA,NA,NA,NA,NA,NA
25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,45,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,33,2,0,NA,NA,NA,NA,NA,NA,NA,NA
49,48,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,42,14,12,NA,NA,NA,NA,NA,NA,NA,NA
58,57,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,25,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,41,14,12,NA,NA,NA,NA,NA,NA,NA,NA
41,18,17,7,NA,NA,NA,NA,NA,NA,NA,NA
50,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,45,20,18,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,37,13,11,NA,NA,NA,NA,NA,NA,NA,NA
54,52,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,52,26,24,21,NA,NA,NA,NA,NA,NA,NA
26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,48,18,16,NA,NA,NA,NA,NA,NA,NA,NA
37,37,8,6,1,NA,NA,NA,NA,NA,NA,NA
45,45,24,18,17,NA,NA,NA,NA,NA,NA,NA
37,30,13,11,7,NA,NA,NA,NA,NA,NA,NA
33,27,4,0,NA,NA,NA,NA,NA,NA,NA,NA
51,48,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,33,5,4,2,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,41,17,15,1,NA,NA,NA,NA,NA,NA,NA
29,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,35,6,4,1,NA,NA,NA,NA,NA,NA,NA
54,50,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,33,4,2,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,30,6,5,2,NA,NA,NA,NA,NA,NA,NA
83,83,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,34,8,5,NA,NA,NA,NA,NA,NA,NA,NA
22,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,56,23,22,NA,NA,NA,NA,NA,NA,NA,NA
41,40,18,16,15,NA,NA,NA,NA,NA,NA,NA
32,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,35,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,28,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,42,17,16,6,NA,NA,NA,NA,NA,NA,NA
31,30,3,0,NA,NA,NA,NA,NA,NA,NA,NA
44,39,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,32,2,0,NA,NA,NA,NA,NA,NA,NA,NA
52,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,39,12,9,NA,NA,NA,NA,NA,NA,NA,NA
62,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,45,15,13,NA,NA,NA,NA,NA,NA,NA,NA
47,40,10,8,NA,NA,NA,NA,NA,NA,NA,NA
71,67,41,39,NA,NA,NA,NA,NA,NA,NA,NA
36,35,8,7,NA,NA,NA,NA,NA,NA,NA,NA
34,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,40,12,9,NA,NA,NA,NA,NA,NA,NA,NA
41,40,11,8,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,45,17,15,NA,NA,NA,NA,NA,NA,NA,NA
77,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,38,16,12,2,NA,NA,NA,NA,NA,NA,NA
54,52,29,26,NA,NA,NA,NA,NA,NA,NA,NA
42,40,13,11,NA,NA,NA,NA,NA,NA,NA,NA
30,26,2,0,NA,NA,NA,NA,NA,NA,NA,NA
35,31,8,6,NA,NA,NA,NA,NA,NA,NA,NA
48,45,21,19,17,NA,NA,NA,NA,NA,NA,NA
38,36,6,4,0,NA,NA,NA,NA,NA,NA,NA
57,53,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,32,7,4,NA,NA,NA,NA,NA,NA,NA,NA
84,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,46,44,21,16,NA,NA,NA,NA,NA,NA,NA
61,35,33,5,1,NA,NA,NA,NA,NA,NA,NA
37,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,42,13,6,NA,NA,NA,NA,NA,NA,NA,NA
39,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,46,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,40,15,12,NA,NA,NA,NA,NA,NA,NA,NA
44,40,12,10,NA,NA,NA,NA,NA,NA,NA,NA
42,38,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,40,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,50,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,37,13,10,NA,NA,NA,NA,NA,NA,NA,NA
53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,40,9,5,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,36,10,9,2,1,NA,NA,NA,NA,NA,NA
37,35,6,2,0,NA,NA,NA,NA,NA,NA,NA
65,63,34,23,NA,NA,NA,NA,NA,NA,NA,NA
45,42,19,17,15,NA,NA,NA,NA,NA,NA,NA
65,53,24,16,NA,NA,NA,NA,NA,NA,NA,NA
52,46,24,21,NA,NA,NA,NA,NA,NA,NA,NA
31,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,40,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,38,9,7,6,NA,NA,NA,NA,NA,NA,NA
86,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,42,20,18,16,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,61,26,21,13,NA,NA,NA,NA,NA,NA,NA
39,38,14,11,6,NA,NA,NA,NA,NA,NA,NA
38,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,37,9,9,NA,NA,NA,NA,NA,NA,NA,NA
32,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,57,34,17,13,NA,NA,NA,NA,NA,NA,NA
37,36,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,39,5,4,NA,NA,NA,NA,NA,NA,NA,NA
35,29,2,1,NA,NA,NA,NA,NA,NA,NA,NA
39,36,2,0,NA,NA,NA,NA,NA,NA,NA,NA
34,34,7,4,NA,NA,NA,NA,NA,NA,NA,NA
54,50,25,23,18,NA,NA,NA,NA,NA,NA,NA
52,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,47,17,14,NA,NA,NA,NA,NA,NA,NA,NA
43,35,3,3,NA,NA,NA,NA,NA,NA,NA,NA
61,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,41,6,2,NA,NA,NA,NA,NA,NA,NA,NA
53,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,35,25,22,0,NA,NA,NA,NA,NA,NA,NA
44,40,39,15,NA,NA,NA,NA,NA,NA,NA,NA
32,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,41,19,17,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,36,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,39,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,52,25,25,NA,NA,NA,NA,NA,NA,NA,NA
61,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,44,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,51,27,25,NA,NA,NA,NA,NA,NA,NA,NA
35,33,5,2,NA,NA,NA,NA,NA,NA,NA,NA
41,37,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,53,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,54,17,12,8,NA,NA,NA,NA,NA,NA,NA
41,36,9,7,NA,NA,NA,NA,NA,NA,NA,NA
44,41,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,50,25,24,22,20,NA,NA,NA,NA,NA,NA
38,26,14,11,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,41,13,10,NA,NA,NA,NA,NA,NA,NA,NA
40,37,12,8,NA,NA,NA,NA,NA,NA,NA,NA
26,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,38,9,8,7,6,5,4,3,3,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,39,4,1,NA,NA,NA,NA,NA,NA,NA,NA
33,33,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,57,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,37,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,52,24,21,NA,NA,NA,NA,NA,NA,NA,NA
50,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,32,5,3,NA,NA,NA,NA,NA,NA,NA,NA
26,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,23,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,38,13,11,NA,NA,NA,NA,NA,NA,NA,NA
62,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,37,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,36,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,67,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,60,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,41,17,14,NA,NA,NA,NA,NA,NA,NA,NA
54,52,22,21,NA,NA,NA,NA,NA,NA,NA,NA
69,42,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,38,18,14,12,NA,NA,NA,NA,NA,NA,NA
67,64,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,13,11,4,NA,NA,NA,NA,NA,NA,NA,NA
68,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,56,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,39,15,12,12,NA,NA,NA,NA,NA,NA,NA
35,32,7,5,NA,NA,NA,NA,NA,NA,NA,NA
45,18,16,13,10,NA,NA,NA,NA,NA,NA,NA
81,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,52,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,41,15,12,8,NA,NA,NA,NA,NA,NA,NA
69,48,37,24,2,NA,NA,NA,NA,NA,NA,NA
47,45,18,13,NA,NA,NA,NA,NA,NA,NA,NA
61,56,23,23,NA,NA,NA,NA,NA,NA,NA,NA
51,48,17,15,NA,NA,NA,NA,NA,NA,NA,NA
84,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,40,11,6,2,NA,NA,NA,NA,NA,NA,NA
64,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,53,31,24,NA,NA,NA,NA,NA,NA,NA,NA
42,41,14,11,NA,NA,NA,NA,NA,NA,NA,NA
74,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,44,18,16,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,38,20,18,15,10,NA,NA,NA,NA,NA,NA
30,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,57,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,38,6,4,NA,NA,NA,NA,NA,NA,NA,NA
63,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,48,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,36,4,1,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,44,14,12,NA,NA,NA,NA,NA,NA,NA,NA
40,39,14,9,NA,NA,NA,NA,NA,NA,NA,NA
65,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,60,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,34,9,7,5,3,NA,NA,NA,NA,NA,NA
72,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,44,14,10,NA,NA,NA,NA,NA,NA,NA,NA
53,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,59,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,51,32,22,NA,NA,NA,NA,NA,NA,NA,NA
36,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,41,14,13,NA,NA,NA,NA,NA,NA,NA,NA
60,55,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,47,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,41,14,12,NA,NA,NA,NA,NA,NA,NA,NA
58,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
