"id";"serial_num";"name";"zip_code";"city";"street";"adress";"size";"category";"grade";"age_class";"grade_1";"grade_2";"grade_3";"x_coord";"y_coord";"city_code"
94;"25081";"Gemeentelijke Basisschool";9968;"BASSEVELDE";"Nieuwe Boekhoutestraat";NA;45;"pre";-1;-1;0;0;0;104303.906842105;213635.931052632;43002
95;"20982";"Gemeentelijke Basisschool - Jenaplanschool De Feniks";9000;"GENT";"Acaciastraat";NA;173;"pre";-1;-1;0;0;0;104006.249509804;194241.032941176;44021
96;"21261";"Vrije basisschool - Nieuwen Bosch";9000;"GENT";"Lange Violettestraat";NA;176;"pre";-1;-1;0;0;0;104006.249509804;194241.032941176;44021
97;"4201";"Vrije Basisschool";1083;"GANSHOREN";"Jean De Greefstraat";NA;55;"pre";-1;-1;0;0;0;149789.183364486;172286.279439252;21004
98;"12054";"Basisschool van het Gemeenschapsonderwijs - De Spiegel";2811;"LEEST";"Ten Moortele";NA;65;"pre";-1;-1;0;0;0;157200.4477;190810.4149;12025
99;"19761";"Vrije Basisschool";8770;"INGELMUNSTER";"Schoolstraat";NA;91;"pre";-1;-1;0;0;0;72003.9275;179244.0025;36007
100;"1883";"Basisschool van het Gemeenschapsonderwijs";3970;"LEOPOLDSBURG";"Atheneumstraat";NA;41;"pre";-1;-1;0;0;0;211394.361176471;201269.554117647;71034
101;"17285";"Vrije Basisschool";8610;"KORTEMARK";"Handzamestraat";NA;64;"pre";-1;-1;0;0;0;54684.78;191521.658518519;32011
102;"24059";"Vrije Basisschool - Lilare";9660;"MICHELBEKE";"Groenstraat";NA;66;"pre";-1;-1;0;0;0;107019.592285714;166487.512285714;45059
103;"2907";"Basisschool van het Gemeenschapsonderwijs - De groene Vijver";9340;"LEDE";"Meirveld";NA;67;"pre";-1;-1;0;0;0;120835.599736842;184078.538421053;41034
104;"23564";"Vrije Basisschool";9500;"GERAARDSBERGEN";"Boelarestraat";NA;51;"pre";-1;-1;0;0;0;117137.535957447;163333.473617021;41018
105;"110239";"Vrije Basisschool";9660;"NEDERBRAKEL";"Driehoekstraat";NA;95;"pre";-1;-1;0;0;0;107019.592285714;166487.512285714;45059
106;"110106";"Vrije Basisschool";9550;"SINT-LIEVENS-ESSE";"Armstraat";NA;23;"pre";-1;-1;0;0;0;116205.71547619;173861.053809524;41027
107;"53967";"Gemeentelijke Basisschool";3511;"KURINGEN";"Zolderse kiezel";NA;96;"pre";-1;-1;0;0;0;216594.847311828;180929.301397849;71022
108;"55301";"Vrije Basisschool - De Driehoek";3950;"BOCHOLT";"Kloosterstraat";NA;107;"pre";-1;-1;0;0;0;232736.384761905;208530.44952381;72003
109;"110411";"Basisschool van het Gemeenschapsonderwijs - De Meer";1980;"ZEMST";"Bovenweg";NA;51;"pre";-1;-1;0;0;0;156981.975263158;185500.140789474;23096
110;"55889";"Basisschool van het Gemeenschapsonderwijs - Melgesdreef";2170;"MERKSEM";"Melgesdreef";NA;205;"pre";-1;-1;0;0;0;152946.885756579;212574.057894737;11002
111;"61242";"Vrije Basisschool - Lutselus";3590;"DIEPENBEEK";"Pastorijstraat";NA;137;"pre";-1;-1;0;0;0;224385.178846154;178653.938461538;71011
112;"118621";"Vrije Basisschool - Het Ooievaarsnest";9961;"BOEKHOUTE";"Weststraat";NA;60;"pre";-1;-1;0;0;0;104303.906842105;213635.931052632;43002
113;"118463";"Basisschool van het Gemeenschapsonderwijs";3840;"BORGLOON";"Stationsstraat";NA;68;"pre";-1;-1;0;0;0;218126.572058824;166553.021176471;73009
114;"44644";"Vrije Basisschool - Ipos";3570;"ALKEN";"Dieregaertstraat";NA;38;"pre";-1;-1;0;0;0;214957.121304348;174862.44826087;73001
115;"46128";"Vrije Basisschool - Sint-Franciscus vzw";2300;"TURNHOUT";"Schorvoortstraat";NA;137;"pre";-1;-1;0;0;0;189799.266666667;223877.525151515;13040
116;"46185";"Vrije Basisschool - Guido Gezelleschool";8310;"ASSEBROEK";"Astridlaan";NA;60;"pre";-1;-1;0;0;0;69817.3656589147;213393.638217054;31005
117;"115741 ++ 46227";"Vrije Basisschool";9100;"SINT-NIKLAAS";"Heistraat";NA;190;"pre";-1;-1;0;0;0;133585.219473684;206150.585263158;46021
118;"115428";"Vrije Basisschool";8600;"DIKSMUIDE";"De Breyne Peellaertstraat";NA;117;"pre";-1;-1;0;0;0;43891.3747727273;193516.836136364;32003
119;"12229";"Vrije Kleuterschool";3000;"LEUVEN";"Sint-Jacobsplein";NA;172;"pre";-1;-1;0;0;0;173955.434285714;174816.886386555;24062
120;"107557";"Gemeentelijke Basisschool Rode";1860;"MEISE";"Papenmeuter";NA;148;"pre";-1;-1;0;0;0;146557.484571429;182390.628857143;23050
